id,odai_photo_file_name,text,is_laugh,img_path,fold,pred_0,pred_1
skahna8il,tam9barblp.jpg,「分からない？2時の方向138km先で肉を焼いているわ」,1,../bokete/train/tam9barblp.jpg,0,-0.3905789,-0.09757042
5pt9m5zxm,fs2nilheob.jpg,蜂の巣の幼虫,0,../bokete/train/fs2nilheob.jpg,0,-0.101371944,-0.5677352
umstqopho,u8dpdxu4hw.jpg,ボランティアで行う町の廃品集めに参加し、「不要な物あります？」と聞いたら「お前じゃね？」と言われたので処理場に向かう。,1,../bokete/train/u8dpdxu4hw.jpg,0,-0.51554906,0.20596705
scfsr5x8x,cvn3qnr7e3.jpg,おまえじゃねぇーよ、おまえじゃねぇーって。,1,../bokete/train/cvn3qnr7e3.jpg,0,-0.3254652,-0.22242706
ghxfvnegw,s1tz7cbzkz.jpg,アフリカに送ったダスキンが間違った使い方をされていた,1,../bokete/train/s1tz7cbzkz.jpg,0,-0.4589492,-0.10165514
ltzjrvawg,7h47biu7vz.jpg,主人公にありがちな、優勢を導く独特のポーズ,0,../bokete/train/7h47biu7vz.jpg,0,-0.36755764,-0.20793274
wte3pdtzo,styzda2uls.jpg,[あなたと文通できて嬉しいです。私はどちらかというと広瀬すずに似てるっていわれます・・・],1,../bokete/train/styzda2uls.jpg,0,-0.45166066,-0.05289532
ratqd4akh,arwkltmb2i.jpg,母と兄の権力の下で必死に赤ん坊と姉を守る父,1,../bokete/train/arwkltmb2i.jpg,0,-0.3768566,-0.2636715
r3bcizcjd,adeqfcatqb.jpg,ゴールを決めたのに誰も来てくれない。,0,../bokete/train/adeqfcatqb.jpg,0,-0.43306595,-0.08153498
myn6cqb5u,poqbdfdbi4.jpg,いや、マイクに寄せたわけじゃない,0,../bokete/train/poqbdfdbi4.jpg,0,-0.42187157,-0.13613093
jj6bk1xor,awjtz9rexd.jpg,「いやじゃいやじゃ〜！あの盆栽欲しい〜！」,1,../bokete/train/awjtz9rexd.jpg,0,-0.3355666,-0.28864205
5nn025a04,k6bzfdi87l.jpg,これはチャイ.ナのシャンハイ。ガスとゲスの街だ。,0,../bokete/train/k6bzfdi87l.jpg,0,-0.37664914,-0.20642976
6hy9u8o31,6dbkwdn9l2.jpg,迂回すりゃいいのに「このさきにすすむには ながぐつ がひつようだ！」と出て進めない,1,../bokete/train/6dbkwdn9l2.jpg,0,-0.4565406,-0.056263704
n3duu6hff,z1asa7b876.jpg,左の頬を出せとか言うんじゃ無かった天使が見えるもうだめ,0,../bokete/train/z1asa7b876.jpg,0,-0.44072127,-0.046646733
bd4qao14u,btrxcxx7f5.jpg,屋根もエアコンもない、これ買うのやめときません？,0,../bokete/train/btrxcxx7f5.jpg,0,-0.37481532,-0.22349383
e0exqiraw,fcy8qjmyux.jpg,「これ試食していいの？」『どうぞ！』（ｶﾞﾌﾞｯ）「美味しい！どこのスイカなんだい？」『武漢です！』,0,../bokete/train/fcy8qjmyux.jpg,0,-0.46821025,-0.047709573
mxllx759l,u7u22pcw4l.jpg,判決…／無…／期懲役！,1,../bokete/train/u7u22pcw4l.jpg,0,-0.32640478,-0.28218484
9kpuz1pdn,s9ui5lv1ck.jpg,7回裏の金足農応援団,0,../bokete/train/s9ui5lv1ck.jpg,0,-0.27045155,-0.40420288
8luxptp2x,b674a867qj.jpg,マイク細いから喋らないもん！,0,../bokete/train/b674a867qj.jpg,0,-0.3544099,-0.2787499
99hpxorcy,ioc9h8bpsj.jpg,女の子は父親に似るらしい,0,../bokete/train/ioc9h8bpsj.jpg,0,-0.35968557,-0.24363753
7hqxhkgvz,2wm97k2jna.jpg,バレないように、音を立てずに柿の種を食う,1,../bokete/train/2wm97k2jna.jpg,0,-0.39573786,-0.16299227
r9pnegbws,hqcvrqturx.jpg,落ちてきた天井を支え、「くっ！ここは俺に任せろ、なぁに後で追い付くさ。帰ったら一杯おごれよな」ごっこ,1,../bokete/train/hqcvrqturx.jpg,0,-0.57706314,0.10227573
r9py1w3uo,7pzochzg4v.jpg,どこにも出口がない,0,../bokete/train/7pzochzg4v.jpg,0,-0.33753565,-0.34211603
dsws86dfs,v1yqykrmah.jpg,ササササササボロー！Yo!Yo!Yo!ササササササボロー！Yo!Yo!,0,../bokete/train/v1yqykrmah.jpg,0,-0.35821778,-0.20361191
wdrjfpspi,x8q8tywrd8.jpg,『てっきり還付金くれるかと思っていたらパンプキンでな』「で、もらってきた…と」『うんそーだよぉ』,1,../bokete/train/x8q8tywrd8.jpg,0,-0.5395227,0.07255936
gsa5wa7py,ifts6vpv0v.jpg,サバゲーだと頼もしい経理課長,0,../bokete/train/ifts6vpv0v.jpg,0,-0.33925024,-0.3019819
razcmwcg4,dtazpfv4bw.jpg,…でもその本マグロお高いんでしょ？,0,../bokete/train/dtazpfv4bw.jpg,0,-0.32991886,-0.2644764
