id,odai_photo_file_name,text,is_laugh,img_path,fold,pred_0,pred_1
skahna8il,tam9barblp.jpg,「分からない？2時の方向138km先で肉を焼いているわ」,1,../bokete/train/tam9barblp.jpg,0,-0.35426956,0.48439598
5pt9m5zxm,fs2nilheob.jpg,蜂の巣の幼虫,0,../bokete/train/fs2nilheob.jpg,0,0.3369543,-0.23505677
umstqopho,u8dpdxu4hw.jpg,ボランティアで行う町の廃品集めに参加し、「不要な物あります？」と聞いたら「お前じゃね？」と言われたので処理場に向かう。,1,../bokete/train/u8dpdxu4hw.jpg,0,-0.4043251,0.43471336
scfsr5x8x,cvn3qnr7e3.jpg,おまえじゃねぇーよ、おまえじゃねぇーって。,1,../bokete/train/cvn3qnr7e3.jpg,0,0.5101136,-0.49789092
ghxfvnegw,s1tz7cbzkz.jpg,アフリカに送ったダスキンが間違った使い方をされていた,1,../bokete/train/s1tz7cbzkz.jpg,0,-0.5221329,0.5503819
ltzjrvawg,7h47biu7vz.jpg,主人公にありがちな、優勢を導く独特のポーズ,0,../bokete/train/7h47biu7vz.jpg,0,0.11810107,-0.08948438
wte3pdtzo,styzda2uls.jpg,[あなたと文通できて嬉しいです。私はどちらかというと広瀬すずに似てるっていわれます・・・],1,../bokete/train/styzda2uls.jpg,0,0.01284077,-0.034258675
ratqd4akh,arwkltmb2i.jpg,母と兄の権力の下で必死に赤ん坊と姉を守る父,1,../bokete/train/arwkltmb2i.jpg,0,-0.33469442,0.38659003
r3bcizcjd,adeqfcatqb.jpg,ゴールを決めたのに誰も来てくれない。,0,../bokete/train/adeqfcatqb.jpg,0,-0.0024075434,0.012637295
myn6cqb5u,poqbdfdbi4.jpg,いや、マイクに寄せたわけじゃない,0,../bokete/train/poqbdfdbi4.jpg,0,0.22788471,-0.21054757
jj6bk1xor,awjtz9rexd.jpg,「いやじゃいやじゃ〜！あの盆栽欲しい〜！」,1,../bokete/train/awjtz9rexd.jpg,0,0.24533945,-0.042773817
5nn025a04,k6bzfdi87l.jpg,これはチャイ.ナのシャンハイ。ガスとゲスの街だ。,0,../bokete/train/k6bzfdi87l.jpg,0,0.24508655,-0.21427558
6hy9u8o31,6dbkwdn9l2.jpg,迂回すりゃいいのに「このさきにすすむには ながぐつ がひつようだ！」と出て進めない,1,../bokete/train/6dbkwdn9l2.jpg,0,-0.61379766,0.5662075
n3duu6hff,z1asa7b876.jpg,左の頬を出せとか言うんじゃ無かった天使が見えるもうだめ,0,../bokete/train/z1asa7b876.jpg,0,-0.33381155,0.35516685
bd4qao14u,btrxcxx7f5.jpg,屋根もエアコンもない、これ買うのやめときません？,0,../bokete/train/btrxcxx7f5.jpg,0,0.13344729,-0.13805266
e0exqiraw,fcy8qjmyux.jpg,「これ試食していいの？」『どうぞ！』（ｶﾞﾌﾞｯ）「美味しい！どこのスイカなんだい？」『武漢です！』,0,../bokete/train/fcy8qjmyux.jpg,0,-0.47072247,0.59035456
mxllx759l,u7u22pcw4l.jpg,判決…／無…／期懲役！,1,../bokete/train/u7u22pcw4l.jpg,0,0.36803475,-0.43104157
9kpuz1pdn,s9ui5lv1ck.jpg,7回裏の金足農応援団,0,../bokete/train/s9ui5lv1ck.jpg,0,0.2909221,-0.3366829
8luxptp2x,b674a867qj.jpg,マイク細いから喋らないもん！,0,../bokete/train/b674a867qj.jpg,0,0.4459872,-0.5172757
99hpxorcy,ioc9h8bpsj.jpg,女の子は父親に似るらしい,0,../bokete/train/ioc9h8bpsj.jpg,0,0.2603018,-0.30842903
7hqxhkgvz,2wm97k2jna.jpg,バレないように、音を立てずに柿の種を食う,1,../bokete/train/2wm97k2jna.jpg,0,-0.25866598,0.2862438
